번호,이름,시간분류,형식/소재/세대,비주얼태그,전체라벨
151,Jack Sparrow Being Chased,#고전 #스테디,#포맷,#해적 #도망달리기 #원주민추격 #정글,#고전 #스테디 #포맷 #해적 #도망달리기 #원주민추격 #정글
152,Sparta Leonidas,#고전 #스테디,#포맷,#발차기 #우물 #투구 #망토 #함성,#고전 #스테디 #포맷 #발차기 #우물 #투구 #망토 #함성
153,See Nobody Cares,#고전 #스테디,#반응짤,#쥬라기공원 #모자 #아무도신경안씀,#고전 #스테디 #반응짤 #쥬라기공원 #모자 #아무도신경안씀
154,Maury Lie Detector,#고전 #스테디,#포맷,#토크쇼 #거짓말탐지기 #판정카드 #관객,#고전 #스테디 #포맷 #토크쇼 #거짓말탐지기 #판정카드 #관객
155,Pawn Stars Best I Can Do,#고전 #스테디,#포맷,#전당포 #카운터 #흥정 #헐값,#고전 #스테디 #포맷 #전당포 #카운터 #흥정 #헐값
156,Three-Headed Dragon,#고전 #스테디,#포맷,#머리셋용 #킹기도라 #세갈래 #한몸,#고전 #스테디 #포맷 #머리셋용 #킹기도라 #세갈래 #한몸
157,Laughing Men In Suits,#고전 #스테디,#반응짤,#정장단체 #폭소 #회의탁자 #비웃음,#고전 #스테디 #반응짤 #정장단체 #폭소 #회의탁자 #비웃음
158,Yo Dawg,#고전 #스테디,#포맷,#선글라스 #모자 #래퍼 #활짝웃음 #재귀,#고전 #스테디 #포맷 #선글라스 #모자 #래퍼 #활짝웃음 #재귀
159,Too Damn High,#고전 #스테디,#포맷,#콧수염 #장갑 #외침 #정치인 #임대료,#고전 #스테디 #포맷 #콧수염 #장갑 #외침 #정치인 #임대료
160,10 Guy,#고전 #스테디,#반응짤,#풀린눈 #몽롱 #반쯤감긴눈 #취함,#고전 #스테디 #반응짤 #풀린눈 #몽롱 #반쯤감긴눈 #취함
161,Mother Ignoring Kid Drowning In A Pool,#고전 #스테디,#포맷,#수영장 #물에빠진아이 #무시하는엄마 #라벨,#고전 #스테디 #포맷 #수영장 #물에빠진아이 #무시하는엄마 #라벨
162,Flex Tape,#고전 #스테디,#포맷,#은색테이프 #물탱크 #물새는곳 #모자아저씨 #광고,#고전 #스테디 #포맷 #은색테이프 #물탱크 #물새는곳 #모자아저씨 #광고
163,Dr Evil Laser,#고전 #스테디,#포맷,#새끼손가락입가 #대머리 #회색정장 #따옴표손가락,#고전 #스테디 #포맷 #새끼손가락입가 #대머리 #회색정장 #따옴표손가락
164,Imagination Spongebob,#고전 #스테디,#반응짤,#무지개손 #스폰지밥 #상상 #반짝임,#고전 #스테디 #반응짤 #무지개손 #스폰지밥 #상상 #반짝임
165,Disappointed Black Guy,#고전 #스테디,#반응짤,#기대얼굴 #실망얼굴 #2컷 #고개돌림,#고전 #스테디 #반응짤 #기대얼굴 #실망얼굴 #2컷 #고개돌림
166,Am I The Only One Around Here,#고전 #스테디,#포맷,#총겨누기 #조끼 #선글라스 #볼링 #흥분,#고전 #스테디 #포맷 #총겨누기 #조끼 #선글라스 #볼링 #흥분
167,Types Of Headaches,#고전 #스테디,#포맷,#두통도표 #머리단면 #빨간부위 #의학그림,#고전 #스테디 #포맷 #두통도표 #머리단면 #빨간부위 #의학그림
168,You Guys Are Getting Paid,#고전 #스테디,#포맷,#놀란표정 #월급 #4인승합차,#고전 #스테디 #포맷 #놀란표정 #월급 #4인승합차
169,Put It Somewhere Else Patrick,#고전 #스테디,#포맷,#불가사리 #떠밀기 #스폰지밥 #고집,#고전 #스테디 #포맷 #불가사리 #떠밀기 #스폰지밥 #고집
170,Face You Make Robert Downey Jr,#고전 #스테디,#반응짤,#뜨악 #곁눈질 #수염 #어이없음,#고전 #스테디 #반응짤 #뜨악 #곁눈질 #수염 #어이없음
171,A Train Hitting A School Bus,#고전 #스테디,#포맷,#기차충돌 #노란스쿨버스 #압도적 #건널목,#고전 #스테디 #포맷 #기차충돌 #노란스쿨버스 #압도적 #건널목
172,Squidward Window,#고전 #스테디,#반응짤,#창밖내다보기 #징징이 #쓸쓸 #블라인드,#고전 #스테디 #반응짤 #창밖내다보기 #징징이 #쓸쓸 #블라인드
173,Bernie I Am Once Again Asking,#고전 #스테디,#포맷,#갈색패딩 #모금영상 #부탁 #할아버지,#고전 #스테디 #포맷 #갈색패딩 #모금영상 #부탁 #할아버지
174,Be Like Bill,#고전 #스테디,#포맷,#막대인간 #비니모자 #낙서 #훈수,#고전 #스테디 #포맷 #막대인간 #비니모자 #낙서 #훈수
175,Bad Pun Dog,#고전 #스테디,#포맷,#능글개 #말장난 #씩웃음 #골든리트리버,#고전 #스테디 #포맷 #능글개 #말장난 #씩웃음 #골든리트리버
176,Mugatu So Hot Right Now,#고전 #스테디,#포맷,#은발 #괴상한패션 #디자이너 #주랜더,#고전 #스테디 #포맷 #은발 #괴상한패션 #디자이너 #주랜더
177,Grant Gustin Over Grave,#고전 #스테디,#포맷,#무덤앞 #브이포즈 #묘비 #장난스러움,#고전 #스테디 #포맷 #무덤앞 #브이포즈 #묘비 #장난스러움
178,Confused Gandalf,#고전 #스테디,#반응짤,#흰수염마법사 #회색모자 #어리둥절 #지팡이,#고전 #스테디 #반응짤 #흰수염마법사 #회색모자 #어리둥절 #지팡이
179,What Do We Want,#고전 #스테디,#포맷,#시위피켓 #구호 #군중 #언제,#고전 #스테디 #포맷 #시위피켓 #구호 #군중 #언제
180,Say That Again I Dare You,#고전 #스테디,#반응짤,#총겨누기 #아프로머리 #햄버거 #펄프픽션,#고전 #스테디 #반응짤 #총겨누기 #아프로머리 #햄버거 #펄프픽션
181,Simba Shadowy Place,#고전 #스테디,#포맷,#사자바위 #그림자땅 #부자사자 #금지구역,#고전 #스테디 #포맷 #사자바위 #그림자땅 #부자사자 #금지구역
182,Conspiracy Keanu,#고전 #스테디,#포맷,#장발 #놀란얼굴 #어두운배경 #만약에,#고전 #스테디 #포맷 #장발 #놀란얼굴 #어두운배경 #만약에
183,Pepperidge Farm Remembers,#고전 #스테디,#포맷,#금붕어크래커 #회상 #옛날 #패밀리가이,#고전 #스테디 #포맷 #금붕어크래커 #회상 #옛날 #패밀리가이
184,Buddy Christ,#고전 #스테디,#반응짤,#엄지척 #윙크 #예수상 #활짝미소,#고전 #스테디 #반응짤 #엄지척 #윙크 #예수상 #활짝미소
185,Good Fellas Hilarious,#고전 #스테디,#포맷,#식당웃음 #갱스터 #양복 #웃기다고,#고전 #스테디 #포맷 #식당웃음 #갱스터 #양복 #웃기다고
186,Squidward Dab,#고전 #스테디,#반응짤,#의자앉기 #시큰둥 #징징이 #무기력,#고전 #스테디 #반응짤 #의자앉기 #시큰둥 #징징이 #무기력
187,I'm The Captain Now,#고전 #스테디,#포맷,#해적 #조타실 #총 #선장선언,#고전 #스테디 #포맷 #해적 #조타실 #총 #선장선언
188,And Everybody Loses Their Minds,#고전 #스테디,#포맷,#조커 #광대분장 #초록머리 #보라정장,#고전 #스테디 #포맷 #조커 #광대분장 #초록머리 #보라정장
189,Marvel Civil War,#고전 #스테디,#포맷,#히어로대치 #두편 #공항 #마블,#고전 #스테디 #포맷 #히어로대치 #두편 #공항 #마블
190,Charlie Conspiracy,#고전 #스테디,#포맷,#실뭉치보드 #담배 #열변 #서류벽,#고전 #스테디 #포맷 #실뭉치보드 #담배 #열변 #서류벽
191,Gus Fring We Are Not The Same,#고전 #스테디,#포맷,#안경 #노란셔츠 #무표정 #브레이킹배드,#고전 #스테디 #포맷 #안경 #노란셔츠 #무표정 #브레이킹배드
192,Friendship Ended,#고전 #스테디,#포맷,#합성사진 #엑스표 #두남자 #새절친,#고전 #스테디 #포맷 #합성사진 #엑스표 #두남자 #새절친
193,Afraid To Ask Andy,#고전 #스테디,#포맷,#곱슬머리 #스웨터 #고민얼굴 #물어보기무서움,#고전 #스테디 #포맷 #곱슬머리 #스웨터 #고민얼굴 #물어보기무서움
194,Ain't Nobody Got Time For That,#고전 #스테디,#영상,#두건 #인터뷰 #아주머니 #손사래,#고전 #스테디 #영상 #두건 #인터뷰 #아주머니 #손사래
195,Bell Curve,#고전 #스테디,#포맷,#종형곡선 #그래프 #후드좌우 #가운데울상,#고전 #스테디 #포맷 #종형곡선 #그래프 #후드좌우 #가운데울상
196,Domino Effect,#고전 #스테디,#포맷,#도미노 #작은것부터 #연쇄붕괴 #크기순,#고전 #스테디 #포맷 #도미노 #작은것부터 #연쇄붕괴 #크기순
197,Two Guys On A Bus,#고전 #스테디,#포맷,#버스좌석 #창밖풍경 #암벽 #대비,#고전 #스테디 #포맷 #버스좌석 #창밖풍경 #암벽 #대비
198,Two Paths,#고전 #스테디,#포맷,#갈림길 #빛나는길 #기괴한길 #선택,#고전 #스테디 #포맷 #갈림길 #빛나는길 #기괴한길 #선택
199,Car Salesman Slaps Roof,#고전 #스테디,#포맷,#차지붕치기 #판매원 #양복 #허풍,#고전 #스테디 #포맷 #차지붕치기 #판매원 #양복 #허풍
200,Scooby Doo Mask Reveal,#고전 #스테디,#포맷,#가면벗기기 #정체폭로 #미스터리머신 #범인,#고전 #스테디 #포맷 #가면벗기기 #정체폭로 #미스터리머신 #범인
201,Soyboy Vs Yes Chad,#고전 #스테디,#포맷,#입벌린안경남 #금발수염남 #대비 #워잭,#고전 #스테디 #포맷 #입벌린안경남 #금발수염남 #대비 #워잭
202,Scumbag Steve,#고전 #스테디,#반응짤,#삐딱모자 #문간 #갈색모자 #뻔뻔,#고전 #스테디 #반응짤 #삐딱모자 #문간 #갈색모자 #뻔뻔
203,Star Wars No,#고전 #스테디,#반응짤,#다스베이더 #검은헬멧 #절규 #안돼,#고전 #스테디 #반응짤 #다스베이더 #검은헬멧 #절규 #안돼
204,Mr McMahon Reaction,#고전 #스테디,#반응짤,#점점흥분 #4단계 #정장 #코벌렁,#고전 #스테디 #반응짤 #점점흥분 #4단계 #정장 #코벌렁
205,Empty Stonks,#고전 #스테디,#반응짤,#텅빈그래프 #3D얼굴 #허탈,#고전 #스테디 #반응짤 #텅빈그래프 #3D얼굴 #허탈
206,Absolute Cinema,#고전 #스테디,#포맷,#흑백사진 #양팔들기 #안경할아버지 #감탄,#고전 #스테디 #포맷 #흑백사진 #양팔들기 #안경할아버지 #감탄
207,Jackie Chan WTF,#고전 #스테디,#반응짤,#양팔벌리기 #혼란 #성룡 #브이표정,#고전 #스테디 #반응짤 #양팔벌리기 #혼란 #성룡 #브이표정
208,Grim Reaper Knocking,#고전 #스테디,#포맷,#저승사자 #낫 #문두드리기 #차례차례,#고전 #스테디 #포맷 #저승사자 #낫 #문두드리기 #차례차례
209,Will Smith Slapping Chris Rock,#고전 #스테디,#반응짤,#따귀 #시상식무대 #턱시도 #오스카,#고전 #스테디 #반응짤 #따귀 #시상식무대 #턱시도 #오스카
210,Two Guys On Computer Desk,#고전 #스테디,#반응짤,#책상위웅크림 #스파이더맨 #초조,#고전 #스테디 #반응짤 #책상위웅크림 #스파이더맨 #초조
211,Overly Attached Girlfriend,#고전 #스테디,#반응짤,#뚫어져라응시 #큰눈 #웃는여자 #집착,#고전 #스테디 #반응짤 #뚫어져라응시 #큰눈 #웃는여자 #집착
212,Here's Johnny,#고전 #스테디,#반응짤,#도끼 #부서진문 #얼굴들이밀기 #광기미소,#고전 #스테디 #반응짤 #도끼 #부서진문 #얼굴들이밀기 #광기미소
213,You Know I'm Something Of A Scientist Myself,#고전 #스테디,#포맷,#안경 #실험가운 #고블린배우 #자칭전문가,#고전 #스테디 #포맷 #안경 #실험가운 #고블린배우 #자칭전문가
214,Say The Line Bart,#고전 #스테디,#포맷,#교실 #심슨 #우울한바트 #환호,#고전 #스테디 #포맷 #교실 #심슨 #우울한바트 #환호
215,Obama Medal,#고전 #스테디,#포맷,#훈장수여 #자기자신 #거울합성 #대통령,#고전 #스테디 #포맷 #훈장수여 #자기자신 #거울합성 #대통령
216,The Office Congratulations,#고전 #스테디,#반응짤,#박수 #사무실 #반어축하,#고전 #스테디 #반응짤 #박수 #사무실 #반어축하
217,Sure Grandma Let's Get You To Bed,#고전 #스테디,#포맷,#할머니부축 #침대로 #무시 #심슨,#고전 #스테디 #포맷 #할머니부축 #침대로 #무시 #심슨
218,Lisa Simpson Presentation,#고전 #스테디,#포맷,#발표대 #프로젝터스크린 #강당 #주장,#고전 #스테디 #포맷 #발표대 #프로젝터스크린 #강당 #주장
219,Never Ask A Woman Her Age,#고전 #스테디,#포맷,#금기질문 #3연속 #나이연봉,#고전 #스테디 #포맷 #금기질문 #3연속 #나이연봉
220,Kevin Hart Reaction,#고전 #스테디,#반응짤,#찡그림 #눈크게 #손짓 #코미디언,#고전 #스테디 #반응짤 #찡그림 #눈크게 #손짓 #코미디언
221,Presidential Alert,#고전 #스테디,#포맷,#긴급재난문자 #휴대폰알림 #경보음,#고전 #스테디 #포맷 #긴급재난문자 #휴대폰알림 #경보음
222,Leonardo DiCaprio Wolf Of Wall Street,#고전 #스테디,#반응짤,#가슴치기 #함성 #마이크 #정장 #월가,#고전 #스테디 #반응짤 #가슴치기 #함성 #마이크 #정장 #월가
223,Peter Parker Cry,#고전 #스테디,#반응짤,#눈물 #우는남자 #토비맥과이어 #억울,#고전 #스테디 #반응짤 #눈물 #우는남자 #토비맥과이어 #억울
224,Liam Neeson Particular Set Of Skills,#고전 #스테디,#포맷,#전화통화 #어두운방 #협박 #특별한기술,#고전 #스테디 #포맷 #전화통화 #어두운방 #협박 #특별한기술
225,Peter Griffin News,#고전 #스테디,#포맷,#뉴스데스크 #안경뚱보 #패밀리가이 #속보,#고전 #스테디 #포맷 #뉴스데스크 #안경뚱보 #패밀리가이 #속보
226,Kermit Window Reflection,#고전 #스테디,#반응짤,#창가 #빗방울 #개구리 #상념,#고전 #스테디 #반응짤 #창가 #빗방울 #개구리 #상념
227,Sad Cat Thumbs Up,#고전 #스테디,#반응짤,#엄지척 #글썽글썽 #울먹임 #억지긍정,#고전 #스테디 #반응짤 #엄지척 #글썽글썽 #울먹임 #억지긍정
228,Elmo Fire,#고전 #스테디,#반응짤,#불길 #빨간인형 #양팔들기 #혼돈,#고전 #스테디 #반응짤 #불길 #빨간인형 #양팔들기 #혼돈
229,Squidward Sleeping,#고전 #스테디,#포맷,#몇시간후 #자막 #시간경과 #프랑스나레이션,#고전 #스테디 #포맷 #몇시간후 #자막 #시간경과 #프랑스나레이션
230,Soyjak,#고전 #스테디,#캐릭터,#입벌림 #수염 #안경 #흥분,#고전 #스테디 #캐릭터 #입벌림 #수염 #안경 #흥분
231,Yes Chad,#고전 #스테디,#캐릭터,#금발 #각진턱 #수염 #파란눈 #당당,#고전 #스테디 #캐릭터 #금발 #각진턱 #수염 #파란눈 #당당
232,Crying Wojak,#고전 #스테디,#감정,#이악물기 #눈물줄기 #대머리그림 #억울,#고전 #스테디 #감정 #이악물기 #눈물줄기 #대머리그림 #억울
233,Doomer,#고전 #스테디,#캐릭터,#검은후드 #담배 #다크서클 #밤거리,#고전 #스테디 #캐릭터 #검은후드 #담배 #다크서클 #밤거리
234,Chad,#고전 #스테디,#캐릭터,#턱선 #금발 #자신감,#고전 #스테디 #캐릭터 #턱선 #금발 #자신감
235,Virgin vs Chad,#고전 #스테디,#포맷,#비교그림 #구부정vs당당 #걸음걸이 #화살표설명,#고전 #스테디 #포맷 #비교그림 #구부정vs당당 #걸음걸이 #화살표설명
236,Chudjak,#고전 #스테디,#캐릭터,#찡그린얼굴 #분노 #워잭변형,#고전 #스테디 #캐릭터 #찡그린얼굴 #분노 #워잭변형
237,Crying Soyjak vs Mewing Jaw,#2024,#캐릭터 #포맷,#턱다이어그램 #혀위치 #우는얼굴 #대비,#2024 #캐릭터 #포맷 #턱다이어그램 #혀위치 #우는얼굴 #대비
238,Cap / No Cap,#고전 #스테디,#유행어,#모자 #거짓말 #진심 #🧢,#고전 #스테디 #유행어 #모자 #거짓말 #진심 #🧢
239,Bussin,#고전 #스테디,#유행어,#존맛 #음식감탄 #맛있음,#고전 #스테디 #유행어 #존맛 #음식감탄 #맛있음
240,Sus,#고전 #스테디,#유행어,#수상함 #의심 #어몽어스,#고전 #스테디 #유행어 #수상함 #의심 #어몽어스
241,Based,#고전 #스테디,#유행어,#소신발언 #당당 #팩트,#고전 #스테디 #유행어 #소신발언 #당당 #팩트
242,Cringe,#고전 #스테디,#유행어,#오글거림 #민망 #손발,#고전 #스테디 #유행어 #오글거림 #민망 #손발
243,Simp,#고전 #스테디,#유행어,#호구 #과잉헌신 #퍼주기,#고전 #스테디 #유행어 #호구 #과잉헌신 #퍼주기
244,Slay,#고전 #스테디,#유행어,#멋짐 #해냈다 #칭찬,#고전 #스테디 #유행어 #멋짐 #해냈다 #칭찬
245,It's Giving,#고전 #스테디,#유행어,#분위기 #느낌 #평가,#고전 #스테디 #유행어 #분위기 #느낌 #평가
246,Ate And Left No Crumbs,#고전 #스테디,#유행어,#완벽수행 #부스러기없음 #극찬,#고전 #스테디 #유행어 #완벽수행 #부스러기없음 #극찬
247,Mid,#고전 #스테디,#유행어,#평범 #그저그럼 #별로,#고전 #스테디 #유행어 #평범 #그저그럼 #별로
248,Ratio,#고전 #스테디,#유행어,#답글폭주 #트위터 #역전,#고전 #스테디 #유행어 #답글폭주 #트위터 #역전
249,Touch Grass,#고전 #스테디,#유행어,#잔디 #바깥공기 #현실복귀,#고전 #스테디 #유행어 #잔디 #바깥공기 #현실복귀
250,Ok Boomer,#고전 #스테디,#유행어,#꼰대 #세대차이 #일축,#고전 #스테디 #유행어 #꼰대 #세대차이 #일축
251,Living Rent Free,#고전 #스테디,#유행어,#머릿속월세 #계속생각남 #집착,#고전 #스테디 #유행어 #머릿속월세 #계속생각남 #집착
252,Vibe Check,#고전 #스테디,#유행어,#분위기점검 #불시검문,#고전 #스테디 #유행어 #분위기점검 #불시검문
253,Menace To Society,#고전 #스테디,#유행어,#말썽꾼 #사회악 #장난,#고전 #스테디 #유행어 #말썽꾼 #사회악 #장난
254,Cheugy,#고전 #스테디,#유행어,#한물감 #촌스러움 #밀레니얼,#고전 #스테디 #유행어 #한물감 #촌스러움 #밀레니얼
255,Girlboss,#고전 #스테디,#유행어,#커리어우먼 #당참 #반어,#고전 #스테디 #유행어 #커리어우먼 #당참 #반어
256,Gaslight Gatekeep Girlboss,#고전 #스테디,#유행어,#3G #유행어조합 #반어,#고전 #스테디 #유행어 #3G #유행어조합 #반어
257,Caught In 4K,#고전 #스테디,#유행어,#증거포착 #선명한증거 #카메라 #딱걸림,#고전 #스테디 #유행어 #증거포착 #선명한증거 #카메라 #딱걸림
258,Let Him Cook,#고전 #스테디,#유행어,#요리중 #방해금지 #지켜보기,#고전 #스테디 #유행어 #요리중 #방해금지 #지켜보기
259,The Ick,#고전 #스테디,#유행어,#정떨어짐 #급식음 #연애,#고전 #스테디 #유행어 #정떨어짐 #급식음 #연애
260,NPC,#고전 #스테디,#유행어,#게임행인 #기계적반응 #같은말반복,#고전 #스테디 #유행어 #게임행인 #기계적반응 #같은말반복
261,Canadian Kid Cat / IShowSpeed,#고전 #스테디,#크리에이터,#절규 #폭발리액션 #스트리머 #머리잡기,#고전 #스테디 #크리에이터 #절규 #폭발리액션 #스트리머 #머리잡기
262,Kai Cenat,#고전 #스테디,#크리에이터,#스트리머 #리액션 #트위치,#고전 #스테디 #크리에이터 #스트리머 #리액션 #트위치
263,Duolingo Owl,#고전 #스테디,#캐릭터,#초록부엉이 #앱알림 #협박 #언어공부,#고전 #스테디 #캐릭터 #초록부엉이 #앱알림 #협박 #언어공부
264,Girl Math,#2024,#유행어 #틱톡,#소비합리화 #쇼핑 #현금은공짜 #계산법,#2024 #유행어 #틱톡 #소비합리화 #쇼핑 #현금은공짜 #계산법
265,Roman Empire,#2024,#유행어 #틱톡,#로마병사 #투구 #얼마나자주생각,#2024 #유행어 #틱톡 #로마병사 #투구 #얼마나자주생각
266,Underconsumption Core,#2024,#라이프스타일 #틱톡,#절약 #다쓴화장품 #미니멀 #오래쓰기,#2024 #라이프스타일 #틱톡 #절약 #다쓴화장품 #미니멀 #오래쓰기
267,Moo Deng Pygmy Hippo,#2024,#동물 #틱톡,#아기하마 #분홍볼 #물장구 #반들반들,#2024 #동물 #틱톡 #아기하마 #분홍볼 #물장구 #반들반들
268,Pesto Penguin,#2024,#동물 #틱톡,#아기펭귄 #갈색솜털 #부모보다큼 #뒤뚱,#2024 #동물 #틱톡 #아기펭귄 #갈색솜털 #부모보다큼 #뒤뚱
269,Bombombini Gusini,#2025,#브레인롯 #AI,#거위 #폭격기 #날개 #AI캐릭터,#2025 #브레인롯 #AI #거위 #폭격기 #날개 #AI캐릭터
270,Trippi Troppi,#2025,#브레인롯 #AI,#초현실 #AI캐릭터 #리듬이름,#2025 #브레인롯 #AI #초현실 #AI캐릭터 #리듬이름
271,Boneca Ambalabu,#2025,#브레인롯 #AI,#타이어몸통 #개구리머리 #AI캐릭터,#2025 #브레인롯 #AI #타이어몸통 #개구리머리 #AI캐릭터
272,Tralalero Shark Nike,#2025,#브레인롯 #AI,#상어 #파란나이키 #세다리 #달리기,#2025 #브레인롯 #AI #상어 #파란나이키 #세다리 #달리기
273,Steal A Brainrot,#2025,#게임 #브레인롯,#로블록스 #훔치기게임 #수집 #브레인롯,#2025 #게임 #브레인롯 #로블록스 #훔치기게임 #수집 #브레인롯
274,Just Put The Fries In The Bag,#2025,#유행어 #틱톡,#감자튀김 #종이봉지 #드라이브스루 #됐고,#2025 #유행어 #틱톡 #감자튀김 #종이봉지 #드라이브스루 #됐고
275,Costco Guys,#2025,#크리에이터 #틱톡,#부자父子 #붐 #대형마트 #점수매기기,#2025 #크리에이터 #틱톡 #부자父子 #붐 #대형마트 #점수매기기
276,Baby Gronk,#2025,#유행어 #틱톡,#유소년미식축구 #헬멧 #리즈 #유망주,#2025 #유행어 #틱톡 #유소년미식축구 #헬멧 #리즈 #유망주
277,Sticking Out Your Gyat,#2025,#유행어 #GenAlpha,#랩가사 #슬랭모음 #리즐러,#2025 #유행어 #GenAlpha #랩가사 #슬랭모음 #리즐러
278,Confession Bear,#고전 #스테디,#포맷,#말레이곰 #통나무 #턱괴기 #고백,#고전 #스테디 #포맷 #말레이곰 #통나무 #턱괴기 #고백
279,Uncle Sam,#고전 #스테디,#포맷,#성조기모자 #흰수염 #손가락지목 #포스터,#고전 #스테디 #포맷 #성조기모자 #흰수염 #손가락지목 #포스터
280,Back In My Day,#고전 #스테디,#포맷,#할아버지 #흔들의자 #라떼는 #회상,#고전 #스테디 #포맷 #할아버지 #흔들의자 #라떼는 #회상
281,Bugs Bunny Communist,#고전 #스테디,#포맷,#회색토끼 #빨간배경 #낫과망치 #우리것,#고전 #스테디 #포맷 #회색토끼 #빨간배경 #낫과망치 #우리것
282,Shut Up And Take My Money,#고전 #스테디,#포맷,#지폐내밀기 #안경 #주황머리 #퓨처라마,#고전 #스테디 #포맷 #지폐내밀기 #안경 #주황머리 #퓨처라마
283,Soldier Protecting Sleeping Child,#고전 #스테디,#포맷,#군인 #자는아이 #총들고보호 #그림,#고전 #스테디 #포맷 #군인 #자는아이 #총들고보호 #그림
284,0 Days Without,#고전 #스테디,#포맷,#무사고게시판 #숫자0 #심슨 #공장,#고전 #스테디 #포맷 #무사고게시판 #숫자0 #심슨 #공장
285,AJ Styles And Undertaker,#고전 #스테디,#포맷,#레슬링링 #굳은표정 #마주침 #WWE,#고전 #스테디 #포맷 #레슬링링 #굳은표정 #마주침 #WWE
286,What Gives People Feelings Of Power,#고전 #스테디,#포맷,#막대그래프 #돈지위 #엉뚱한항목,#고전 #스테디 #포맷 #막대그래프 #돈지위 #엉뚱한항목
287,Spider-Man Triple Pointing,#고전 #스테디,#포맷,#스파이더맨셋 #삼자대면 #서로지목,#고전 #스테디 #포맷 #스파이더맨셋 #삼자대면 #서로지목
288,Scared Cat,#고전 #스테디,#반응짤,#겁먹은고양이 #동공확장 #뒷걸음,#고전 #스테디 #반응짤 #겁먹은고양이 #동공확장 #뒷걸음
289,Awkward Seal,#고전 #스테디,#반응짤,#물개 #뻘쭘 #민망,#고전 #스테디 #반응짤 #물개 #뻘쭘 #민망
290,Surprised Koala,#고전 #스테디,#반응짤,#코알라 #입벌림 #휘둥그레,#고전 #스테디 #반응짤 #코알라 #입벌림 #휘둥그레
291,Spongebob Burning Paper,#고전 #스테디,#포맷,#종이태우기 #벽난로 #증거인멸,#고전 #스테디 #포맷 #종이태우기 #벽난로 #증거인멸
292,Good Guy Greg,#고전 #스테디,#포맷,#담배문미소 #착한행동 #엄지,#고전 #스테디 #포맷 #담배문미소 #착한행동 #엄지
293,Scumbag Brain,#고전 #스테디,#포맷,#뇌그림 #삐딱모자 #배신하는뇌,#고전 #스테디 #포맷 #뇌그림 #삐딱모자 #배신하는뇌
294,Overly Manly Man,#고전 #스테디,#포맷,#콧수염 #흑백사진 #마초 #근성,#고전 #스테디 #포맷 #콧수염 #흑백사진 #마초 #근성
295,Ermahgerd Girl,#고전 #스테디,#반응짤,#교정기 #책들고흥분 #엉터리발음,#고전 #스테디 #반응짤 #교정기 #책들고흥분 #엉터리발음
296,Insanity Wolf,#고전 #스테디,#포맷,#흑백늑대 #포효 #극단조언,#고전 #스테디 #포맷 #흑백늑대 #포효 #극단조언
297,Courage Wolf,#고전 #스테디,#포맷,#늑대포효 #동기부여 #강렬,#고전 #스테디 #포맷 #늑대포효 #동기부여 #강렬
298,Actual Advice Mallard,#고전 #스테디,#포맷,#청둥오리 #초록머리 #꿀팁,#고전 #스테디 #포맷 #청둥오리 #초록머리 #꿀팁
299,Sudden Clarity Clarence,#고전 #스테디,#반응짤,#파티 #문득깨달음 #맥주컵,#고전 #스테디 #반응짤 #파티 #문득깨달음 #맥주컵
300,Socially Awkward Penguin,#고전 #스테디,#포맷,#펭귄 #파란배경 #뻘쭘,#고전 #스테디 #포맷 #펭귄 #파란배경 #뻘쭘
301,Socially Awesome Penguin,#고전 #스테디,#포맷,#펭귄 #빨간배경 #인싸,#고전 #스테디 #포맷 #펭귄 #빨간배경 #인싸
302,Business Cat,#고전 #스테디,#포맷,#넥타이고양이 #검은고양이 #사장님,#고전 #스테디 #포맷 #넥타이고양이 #검은고양이 #사장님
303,Grumpy Cat No,#고전 #스테디,#반응짤,#찌푸림 #단호거절 #노,#고전 #스테디 #반응짤 #찌푸림 #단호거절 #노
304,Nyan Cat Rainbow,#고전 #스테디,#GIF,#픽셀 #무지개 #팝타르트 #우주비행,#고전 #스테디 #GIF #픽셀 #무지개 #팝타르트 #우주비행
305,Pop Cat,#고전 #스테디,#반응짤,#입뻐끔 #흰고양이 #클릭,#고전 #스테디 #반응짤 #입뻐끔 #흰고양이 #클릭
306,Cat Vibing,#고전 #스테디,#GIF,#고개까딱 #리듬 #드럼비트 #이비자,#고전 #스테디 #GIF #고개까딱 #리듬 #드럼비트 #이비자
307,Bongo Cat,#고전 #스테디,#GIF,#북치는고양이 #그림고양이 #악기,#고전 #스테디 #GIF #북치는고양이 #그림고양이 #악기
308,Sad Frog Feels Bad Man,#고전 #스테디,#감정,#슬픈개구리 #처진눈 #울상,#고전 #스테디 #감정 #슬픈개구리 #처진눈 #울상
309,Smug Frog,#고전 #스테디,#감정,#능글개구리 #비웃음 #턱들기,#고전 #스테디 #감정 #능글개구리 #비웃음 #턱들기
310,Angry Pepe,#고전 #스테디,#감정,#분노개구리 #찡그림 #절규,#고전 #스테디 #감정 #분노개구리 #찡그림 #절규
311,Apu Apustaja,#고전 #스테디,#캐릭터,#어리숙개구리 #순수 #서툰그림,#고전 #스테디 #캐릭터 #어리숙개구리 #순수 #서툰그림
312,Poggers,#고전 #스테디,#유행어,#입벌림놀람 #환호 #트위치,#고전 #스테디 #유행어 #입벌림놀람 #환호 #트위치
313,Monkas,#고전 #스테디,#유행어,#식은땀 #긴장 #조마조마,#고전 #스테디 #유행어 #식은땀 #긴장 #조마조마
